Hour,NormalizedLoad
1,0.755966699
2,0.732816745
3,0.743841758
4,0.746346918
5,0.752381378
6,0.747612766
7,0.753487234
8,0.764282953
9,0.73985281
10,0.746251238
11,0.747729969
12,0.729756477
13,0.737613013
14,0.73680786
15,0.720780648
16,0.740187407
17,0.730930913
18,0.750320476
19,0.761490673
20,0.77517392
21,0.761193004
22,0.772424507
23,0.778680799
24,0.790182671
25,0.815843414
26,0.826676607
27,0.818800273
28,0.863646544
29,0.871912117
30,0.892962494
31,0.910210619
32,0.907332045
33,0.882517958
34,0.914815973
35,0.901660545
36,0.901660623
37,0.903036728
38,0.881199966
39,0.883294578
40,0.870591492
41,0.876915308
42,0.875725391
43,0.900339736
44,0.895679165
45,0.882699443
46,0.874062027
47,0.890638357
48,0.853214232
49,0.890171753
50,0.877118263
51,0.876731425
52,0.897585797
53,0.900833354
54,0.920808118
55,0.933044058
56,0.933523018
57,0.91392154
58,0.938193866
59,0.921456953
60,0.90405249
61,0.903096996
62,0.88453056
63,0.87222109
64,0.885940192
65,0.881551771
66,0.877087933
67,0.902725882
68,0.894292373
69,0.883938482
70,0.898120463
71,0.89034401
72,0.869436155
73,0.887925585
74,0.873751631
75,0.8746526
76,0.891995446
77,0.893686538
78,0.913266427
79,0.924973668
80,0.924019367
81,0.9036318
82,0.930665667
83,0.908224809
84,0.901807729
85,0.889568923
86,0.877327699
87,0.867633852
88,0.873550713
89,0.869658195
90,0.869260295
91,0.888836478
92,0.88408908
93,0.870364867
94,0.888060106
95,0.884845919
96,0.866985144
97,0.877473199
98,0.868780855
99,0.863178626
100,0.881602749
101,0.894214527
102,0.911353204
103,0.924568069
104,0.923330391
105,0.901457824
106,0.920414598
107,0.903075505
108,0.893324501
109,0.889045788
110,0.867201664
111,0.857861174
112,0.866775862
113,0.860844227
114,0.862087912
115,0.878972023
116,0.876560223
117,0.867958814
118,0.87993918
119,0.877806138
120,0.853015784
121,0.734710156
122,0.712386221
123,0.719374538
124,0.726239562
125,0.728930269
126,0.727975403
127,0.734465961
128,0.739659727
129,0.714119867
130,0.720522156
131,0.715111793
132,0.697749496
133,0.704267353
134,0.709198623
135,0.68811941
136,0.710031951
137,0.703344169
138,0.713149576
139,0.726137976
140,0.747731893
141,0.728222313
142,0.743718324
143,0.746966744
144,0.752608633
145,0.800292401
146,0.778053885
147,0.780758246
148,0.793348108
149,0.773086478
150,0.761610065
151,0.788311921
152,0.749838718
153,0.758111116
154,0.753907753
155,0.734345698
156,0.737020042
157,0.736624606
158,0.718238013
159,0.720321955
160,0.71520235
161,0.710833771
162,0.701973099
163,0.72929978
164,0.709681079
165,0.706471992
166,0.7077117
167,0.701677525
168,0.715185473
169,0.727750185
170,0.706550072
171,0.713118033
172,0.71002537
173,0.720716408
174,0.718114876
175,0.725223327
176,0.730301327
177,0.706504791
178,0.707363722
179,0.714754928
180,0.693650023
181,0.698952579
182,0.699150521
183,0.685722238
184,0.708144473
185,0.698352477
186,0.712648045
187,0.725609514
188,0.741326741
189,0.727107682
190,0.735606382
191,0.744392549
192,0.751567485
193,0.780718115
194,0.788382183
195,0.785019598
196,0.828903316
197,0.840157019
198,0.86216684
199,0.878728712
200,0.873326972
201,0.848260788
202,0.875917289
203,0.867446108
204,0.868283871
205,0.873921328
206,0.851706664
207,0.850059726
208,0.83714365
209,0.843764285
210,0.83938601
211,0.862992929
212,0.860457484
213,0.84703329
214,0.841063943
215,0.85501581
216,0.826839431
217,0.858091404
218,0.848260096
219,0.849223544
220,0.869953269
221,0.875863085
222,0.894711901
223,0.907374751
224,0.901964995
225,0.885241249
226,0.906320771
227,0.887173431
228,0.873928364
229,0.871326191
230,0.854002435
231,0.848967256
232,0.856097286
233,0.855904734
234,0.849869601
235,0.875715922
236,0.872749864
237,0.852838571
238,0.876931217
239,0.864575469
240,0.846309647
241,0.864025476
242,0.853529303
243,0.850292577
244,0.870559876
245,0.873831498
246,0.889556925
247,0.906100278
248,0.908318258
249,0.884575583
250,0.909472191
251,0.890356892
252,0.882458543
253,0.870799316
254,0.856879097
255,0.850891684
256,0.862098349
257,0.855063903
258,0.858915194
259,0.881058545
260,0.873365887
261,0.861436036
262,0.882204841
263,0.877575978
264,0.853250489
265,0.865234137
266,0.858318025
267,0.860611088
268,0.878929205
269,0.879769824
270,0.900106487
271,0.914997707
272,0.911070987
273,0.891098858
274,0.918555921
275,0.896731667
276,0.885823751
277,0.882694845
278,0.863589306
279,0.856923793
280,0.869378198
281,0.861844541
282,0.867928677
283,0.886819957
284,0.88414401
285,0.867229144
286,0.886593591
287,0.883686308
288,0.861830485
289,0.903271986
290,0.897849999
291,0.877494533
292,0.901861857
293,0.909152528
294,0.930708415
295,0.927269502
296,0.932955018
297,0.910126077
298,0.921272796
299,0.910903655
300,0.903646132
301,0.905213889
302,0.897977924
303,0.874972519
304,0.883236139
305,0.84925656
306,0.866239762
307,0.867621533
308,0.849292773
309,0.842607615
310,0.84819392
311,0.833572527
312,0.817957262
313,0.83706083
314,0.809516599
315,0.811516874
316,0.823924481
317,0.806905955
318,0.7995949
319,0.833385303
320,0.789919228
